Date,Open,High,Low,Close,Adj Close,Volume
2020-06-29,1.122410,1.128923,1.122057,1.122586,1.122586,0
2020-06-30,1.124708,1.126164,1.119232,1.124720,1.124720,0
2020-07-01,1.123368,1.127459,1.118919,1.123595,1.123595,0
2020-07-02,1.125340,1.130327,1.122776,1.125138,1.125138,0
2020-07-03,1.123974,1.125113,1.122108,1.123785,1.123785,0
2020-07-06,1.124885,1.134687,1.124885,1.124720,1.124720,0
2020-07-07,1.131030,1.133658,1.126037,1.131286,1.131286,0
2020-07-08,1.127281,1.134559,1.126519,1.127523,1.127523,0
2020-07-09,1.133787,1.137268,1.128796,1.133915,1.133915,0
2020-07-10,1.128923,1.132477,1.125720,1.128796,1.128796,0
2020-07-13,1.130876,1.137048,1.130454,1.131004,1.131004,0
2020-07-14,1.134584,1.140706,1.132631,1.134550,1.134550,0
2020-07-15,1.141084,1.145300,1.139354,1.141070,1.141070,0
2020-07-16,1.141735,1.144300,1.137954,1.141719,1.141719,0
2020-07-17,1.138650,1.144165,1.137889,1.139212,1.139212,0
2020-07-20,1.143955,1.146789,1.140524,1.144296,1.144296,0
2020-07-21,1.145764,1.149801,1.142622,1.145869,1.145869,0
2020-07-22,1.153509,1.160093,1.150854,1.153403,1.153403,0
2020-07-23,1.156671,1.162426,1.154215,1.156872,1.156872,0
2020-07-24,1.159501,1.164009,1.158171,1.159608,1.159608,0
2020-07-27,1.165257,1.177953,1.165257,1.165257,1.165257,0
2020-07-28,1.176651,1.177579,1.170100,1.176928,1.176928,0
2020-07-29,1.172058,1.177899,1.171495,1.171880,1.171880,0
2020-07-30,1.178689,1.180735,1.173268,1.178287,1.178287,0
2020-07-31,1.187366,1.190799,1.180261,1.187225,1.187225,0
2020-08-03,1.178411,1.178759,1.170138,1.178231,1.178231,0
2020-08-04,1.176055,1.180498,1.172415,1.176332,1.176332,0
2020-08-05,1.181488,1.190533,1.179997,1.181544,1.181544,0
2020-08-06,1.187366,1.191185,1.182075,1.187282,1.187282,0
2020-08-07,1.187507,1.188354,1.175655,1.187648,1.187648,0
2020-08-10,1.178245,1.180200,1.174300,1.178273,1.178273,0
2020-08-11,1.173764,1.180498,1.172319,1.173778,1.173778,0
2020-08-12,1.173985,1.181265,1.171303,1.173654,1.173654,0
2020-08-13,1.179649,1.186400,1.179468,1.179380,1.179380,0
2020-08-14,1.181893,1.183800,1.178467,1.181656,1.181656,0
2020-08-17,1.185045,1.188072,1.183040,1.185255,1.185255,0
2020-08-18,1.187931,1.196516,1.187536,1.187648,1.187648,0
2020-08-19,1.194729,1.195457,1.189343,1.194786,1.194786,0
2020-08-20,1.184175,1.186845,1.180652,1.184350,1.184350,0
2020-08-21,1.187085,1.188637,1.175490,1.187366,1.187366,0
2020-08-24,1.179913,1.185255,1.178620,1.179802,1.179802,0
2020-08-25,1.179523,1.184413,1.178481,1.179454,1.179454,0
2020-08-26,1.183334,1.183992,1.177607,1.183502,1.183502,0
2020-08-27,1.184021,1.189853,1.176623,1.184273,1.184273,0
2020-08-28,1.182047,1.192037,1.181195,1.181963,1.181963,0
2020-08-31,1.191654,1.196358,1.188509,1.191824,1.191824,0
2020-09-01,1.193916,1.201129,1.193730,1.193902,1.193902,0
2020-09-02,1.192307,1.192435,1.182410,1.192321,1.192321,0
2020-09-03,1.184596,1.184806,1.178967,1.184736,1.184736,0
2020-09-04,1.184371,1.186352,1.178175,1.183978,1.183978,0
2020-09-07,1.183656,1.184862,1.181377,1.183446,1.183446,0
2020-09-08,1.181921,1.182872,1.176720,1.182173,1.182173,0
2020-09-09,1.176914,1.183054,1.175364,1.177024,1.177024,0
2020-09-10,1.180638,1.191469,1.180289,1.180638,1.180638,0
2020-09-11,1.182620,1.187648,1.182592,1.182438,1.182438,0
2020-09-14,1.184357,1.188801,1.183306,1.184273,1.184273,0
2020-09-15,1.186690,1.190099,1.184147,1.187000,1.187000,0
2020-09-16,1.184273,1.188300,1.181460,1.184441,1.184441,0
2020-09-17,1.180429,1.183012,1.174164,1.180345,1.180345,0
2020-09-18,1.185255,1.187100,1.183124,1.184820,1.184820,0
2020-09-21,1.184553,1.187300,1.173268,1.184553,1.184553,0
2020-09-22,1.176180,1.177302,1.169344,1.176800,1.176800,0
2020-09-23,1.170755,1.172001,1.166494,1.170837,1.170837,0
2020-09-24,1.166194,1.168100,1.162966,1.165854,1.165854,0
2020-09-25,1.167365,1.168511,1.161346,1.167324,1.167324,0
2020-09-28,1.163508,1.167965,1.161669,1.163535,1.163535,0
2020-09-29,1.167774,1.174164,1.166657,1.167883,1.167883,0
2020-09-30,1.174274,1.175641,1.168607,1.174205,1.174205,0
2020-10-01,1.172374,1.176700,1.171811,1.172608,1.172608,0
2020-10-02,1.174412,1.174700,1.169714,1.174495,1.174495,0
2020-10-05,1.172196,1.179663,1.171930,1.172044,1.172044,0
2020-10-06,1.178828,1.180735,1.176734,1.179245,1.179245,0
2020-10-07,1.173737,1.178139,1.172541,1.173764,1.173764,0
2020-10-08,1.176554,1.178134,1.173530,1.176747,1.176747,0
2020-10-09,1.176706,1.182452,1.175876,1.176700,1.176700,0
2020-10-12,1.181335,1.182732,1.178800,1.181684,1.181684,0
2020-10-13,1.181419,1.181419,1.173571,1.181614,1.181614,0
2020-10-14,1.174398,1.177024,1.172168,1.174219,1.174219,0
2020-10-15,1.174757,1.176055,1.169016,1.174398,1.174398,0
2020-10-16,1.170576,1.174674,1.169495,1.170713,1.170713,0
2020-10-19,1.171564,1.179523,1.170494,1.171550,1.171550,0
2020-10-20,1.176803,1.183992,1.176263,1.176886,1.176886,0
2020-10-21,1.182928,1.188213,1.182928,1.182984,1.182984,0
2020-10-22,1.185129,1.186944,1.181335,1.185396,1.185396,0
2020-10-23,1.181405,1.185958,1.178800,1.181502,1.181502,0
2020-10-26,1.184834,1.185101,1.180401,1.184848,1.184848,0
2020-10-27,1.180944,1.183800,1.179941,1.180944,1.180944,0
2020-10-28,1.178162,1.178828,1.171930,1.178411,1.178411,0
2020-10-29,1.174743,1.175917,1.165623,1.174867,1.174867,0
2020-10-30,1.167679,1.170344,1.164307,1.167870,1.167870,0
2020-11-02,1.164253,1.165699,1.162439,1.164212,1.164212,0
2020-11-03,1.164280,1.174200,1.163806,1.164280,1.164280,0
2020-11-04,1.176457,1.176886,1.160766,1.176221,1.176221,0
2020-11-05,1.172745,1.186240,1.171509,1.184273,1.184273,0
